Distancia(m)	Amplitude
13.2733	0.2149
13.3033	0.2141
13.3333	0.2133
13.3634	0.2126
13.3934	0.2118
13.4234	0.2111
13.4535	0.2103
13.4835	0.2096
13.5135	0.2088
13.5435	0.2081
13.5736	0.2073
13.6036	0.2066
13.6336	0.2058
13.6637	0.2051
13.6937	0.2044
13.7237	0.2036
13.7538	0.2029
13.7838	0.2022
13.8138	0.2015
13.8438	0.2008
13.8739	0.2000
13.9039	0.1993
13.9339	0.1986
13.9640	0.1979
13.9940	0.1972
14.0240	0.1965
14.0541	0.1958
14.0841	0.1951
14.1141	0.1944
14.1441	0.1937
14.1742	0.1930
14.2042	0.1923
14.2342	0.1916
14.2643	0.1909
14.2943	0.1903
14.3243	0.1896
14.3544	0.1889
14.3844	0.1882
14.4144	0.1876
14.4444	0.1869
14.4745	0.1862
14.5045	0.1856
14.5345	0.1849
14.5646	0.1842
14.5946	0.1836
14.6246	0.1829
14.6547	0.1823
14.6847	0.1816
14.7147	0.1810
14.7447	0.1803
14.7748	0.1797
14.8048	0.1790
14.8348	0.1784
14.8649	0.1778
14.8949	0.1771
14.9249	0.1765
14.9550	0.1759
14.9850	0.1752
15.0150	0.1746
15.0450	0.1740
15.0751	0.1734
15.1051	0.1727
15.1351	0.1721
15.1652	0.1715
15.1952	0.1709
15.2252	0.1703
15.2553	0.1697
15.2853	0.1691
15.3153	0.1685
15.3453	0.1679
15.3754	0.1673
15.4054	0.1667
15.4354	0.1661
15.4655	0.1655
15.4955	0.1649
15.5255	0.1643
15.5556	0.1637
15.5856	0.1631
15.6156	0.1625
15.6456	0.1620
15.6757	0.1614
15.7057	0.1608
15.7357	0.1602
15.7658	0.1597
15.7958	0.1591
15.8258	0.1585
15.8559	0.1580
15.8859	0.1574
15.9159	0.1568
15.9459	0.1563
15.9760	0.1557
16.0060	0.1552
16.0360	0.1546
16.0661	0.1540
16.0961	0.1535
16.1261	0.1529
16.1562	0.1524
16.1862	0.1519
16.2162	0.1513
16.2462	0.1508
16.2763	0.1502
16.3063	0.1497
16.3363	0.1492
16.3664	0.1486
16.3964	0.1481
16.4264	0.1476
16.4565	0.1470
16.4865	0.1465
16.5165	0.1460
16.5465	0.1455
16.5766	0.1450
16.6066	0.1444
16.6366	0.1439
16.6667	0.1434
16.6967	0.1429
16.7267	0.1424
16.7568	0.1419
16.7868	0.1414
16.8168	0.1409
16.8468	0.1404
16.8769	0.1399
16.9069	0.1394
16.9369	0.1389
16.9670	0.1384
16.9970	0.1379
17.0270	0.1374
17.0571	0.1369
17.0871	0.1364
17.1171	0.1359
17.1471	0.1354
17.1772	0.1349
17.2072	0.1345
17.2372	0.1340
17.2673	0.1335
17.2973	0.1330
17.3273	0.1326
17.3574	0.1321
17.3874	0.1316
17.4174	0.1311
17.4474	0.1307
17.4775	0.1302
17.5075	0.1297
17.5375	0.1293
17.5676	0.1288
17.5976	0.1283
17.6276	0.1279
17.6577	0.1274
17.6877	0.1270
17.7177	0.1265
17.7477	0.1261
17.7778	0.1256
17.8078	0.1252
17.8378	0.1247
17.8679	0.1243
17.8979	0.1238
17.9279	0.1234
17.9580	0.1230
17.9880	0.1225
18.0180	0.1221
18.0480	0.1216
18.0781	0.1212
18.1081	0.1208
18.1381	0.1203
18.1682	0.1199
18.1982	0.1195
18.2282	0.1191
18.2583	0.1186
18.2883	0.1182
18.3183	0.1178
18.3483	0.1174
18.3784	0.1169
18.4084	0.1165
18.4384	0.1161
18.4685	0.1157
18.4985	0.1153
18.5285	0.1149
18.5586	0.1145
18.5886	0.1141
18.6186	0.1136
18.6486	0.1132
18.6787	0.1128
18.7087	0.1124
18.7387	0.1120
18.7688	0.1116
18.7988	0.1112
18.8288	0.1108
18.8589	0.1104
18.8889	0.1100
18.9189	0.1097
18.9489	0.1093
18.9790	0.1089
19.0090	0.1085
19.0390	0.1081
